username,social_media_usage,online_shopping
User_1,2,7
User_2,7,6
User_3,15,2
User_4,0,6
User_5,10,2
User_6,10,1
User_7,9,0
User_8,3,5
User_9,4,7
User_10,12,10
User_11,7,4
User_12,1,7
User_13,14,9
User_14,5,8
User_15,7,2
User_16,3,9
User_17,12,4
User_18,4,8
User_19,9,2
User_20,4,7
User_21,4,3
User_22,13,2
User_23,3,7
User_24,2,6
User_25,7,0
User_26,15,1
User_27,14,2
User_28,2,0
User_29,9,2
User_30,14,0
User_31,11,7
User_32,5,0
User_33,4,10
User_34,2,0
User_35,0,2
User_36,10,7
User_37,9,10
User_38,5,4
User_39,3,2
User_40,12,5
User_41,2,6
User_42,8,7
User_43,2,2
User_44,11,7
User_45,7,4
User_46,15,8
User_47,2,3
User_48,6,5
User_49,14,0
User_50,2,5
User_51,14,5
User_52,3,6
User_53,9,3
User_54,2,3
User_55,0,2
User_56,11,2
User_57,1,7
User_58,4,1
User_59,13,5
User_60,9,3
User_61,0,4
User_62,13,10
User_63,11,5
User_64,0,6
User_65,3,0
User_66,10,8
User_67,7,4
User_68,2,4
User_69,5,4
User_70,6,5
User_71,5,10
User_72,11,10
User_73,9,4
User_74,10,7
User_75,8,10
User_76,8,9
User_77,11,5
User_78,13,1
User_79,2,7
User_80,8,2
User_81,0,7
User_82,6,9
User_83,9,1
User_84,7,0
User_85,6,1
User_86,11,9
User_87,4,3
User_88,0,6
User_89,12,4
User_90,10,3
User_91,11,2
User_92,0,0
User_93,3,9
User_94,14,0
User_95,13,4
User_96,1,2
User_97,10,10
User_98,8,7
User_99,14,2
User_100,7,2
User_101,4,9
User_102,2,3
User_103,8,2
User_104,4,0
User_105,1,0
User_106,11,7
User_107,13,6
User_108,15,10
User_109,14,3
User_110,0,3
User_111,12,10
User_112,6,9
User_113,14,4
User_114,0,4
User_115,13,2
User_116,13,3
User_117,7,9
User_118,8,8
User_119,15,5
User_120,2,8
User_121,12,2
User_122,4,2
User_123,9,8
User_124,12,0
User_125,13,7
User_126,3,5
User_127,7,2
User_128,13,0
User_129,8,4
User_130,4,5
User_131,11,5
User_132,9,5
User_133,15,2
User_134,3,6
User_135,8,0
User_136,10,3
User_137,4,5
User_138,5,1
User_139,10,2
User_140,9,9
User_141,11,3
User_142,6,2
User_143,10,3
User_144,9,10
User_145,4,2
User_146,0,8
User_147,10,1
User_148,0,3
User_149,10,7
User_150,8,1
User_151,0,9
User_152,3,6
User_153,6,5
User_154,8,4
User_155,5,7
User_156,3,3
User_157,11,5
User_158,3,2
User_159,12,3
User_160,4,1
User_161,5,6
User_162,6,6
User_163,3,9
User_164,5,9
User_165,9,8
User_166,12,3
User_167,6,5
User_168,15,1
User_169,11,0
User_170,3,10
User_171,5,0
User_172,6,1
User_173,6,6
User_174,11,5
User_175,9,9
User_176,3,10
User_177,12,8
User_178,7,3
User_179,2,9
User_180,1,7
User_181,9,1
User_182,8,8
User_183,9,9
User_184,10,8
User_185,4,9
User_186,11,10
User_187,4,3
User_188,2,2
User_189,15,0
User_190,0,1
User_191,1,3
User_192,15,6
User_193,0,1
User_194,10,9
User_195,3,3
User_196,14,8
User_197,3,6
User_198,4,2
User_199,5,10
User_200,6,7
User_201,14,7
User_202,10,9
User_203,4,9
User_204,1,6
User_205,12,4
User_206,4,9
User_207,7,3
User_208,5,8
User_209,13,4
User_210,4,5
User_211,6,10
User_212,4,7
User_213,14,4
User_214,13,4
User_215,8,5
User_216,12,8
User_217,5,4
User_218,14,7
User_219,6,8
User_220,5,2
User_221,6,3
User_222,6,10
User_223,15,1
User_224,7,8
User_225,11,4
User_226,14,2
User_227,8,0
User_228,4,3
User_229,2,10
User_230,2,3
User_231,13,0
User_232,12,9
User_233,5,5
User_234,5,1
User_235,11,10
User_236,6,0
User_237,7,3
User_238,6,2
User_239,7,10
User_240,8,8
User_241,15,7
User_242,12,6
User_243,3,5
User_244,3,6
User_245,3,1
User_246,0,4
User_247,7,5
User_248,7,9
User_249,6,6
User_250,9,2
User_251,14,2
User_252,1,6
User_253,14,7
User_254,1,2
User_255,10,7
User_256,4,2
User_257,5,7
User_258,7,2
User_259,1,2
User_260,5,2
User_261,5,6
User_262,15,5
User_263,2,10
User_264,6,0
User_265,3,6
User_266,10,0
User_267,3,3
User_268,0,5
User_269,9,3
User_270,15,0
User_271,11,5
User_272,10,2
User_273,14,8
User_274,13,6
User_275,12,9
User_276,8,0
User_277,1,2
User_278,12,10
User_279,15,1
User_280,4,3
User_281,6,7
User_282,11,9
User_283,1,6
User_284,7,7
User_285,3,7
User_286,3,8
User_287,7,3
User_288,9,2
User_289,0,4
User_290,8,5
User_291,6,6
User_292,10,9
User_293,11,5
User_294,14,10
User_295,1,4
User_296,9,8
User_297,14,0
User_298,14,5
User_299,13,6
User_300,0,6
User_301,13,10
User_302,12,2
User_303,8,0
User_304,10,7
User_305,13,0
User_306,4,2
User_307,4,7
User_308,3,10
User_309,12,5
User_310,14,9
User_311,15,10
User_312,1,5
User_313,15,4
User_314,2,9
User_315,0,8
User_316,12,9
User_317,0,8
User_318,4,7
User_319,0,0
User_320,13,3
User_321,9,9
User_322,14,9
User_323,9,2
User_324,9,0
User_325,6,7
User_326,4,7
User_327,9,7
User_328,2,2
User_329,12,1
User_330,10,2
User_331,4,7
User_332,13,9
User_333,8,4
User_334,8,7
User_335,5,8
User_336,11,8
User_337,2,5
User_338,12,6
User_339,11,6
User_340,9,6
User_341,6,9
User_342,0,7
User_343,2,10
User_344,1,4
User_345,6,8
User_346,8,8
User_347,15,0
User_348,7,2
User_349,9,2
User_350,14,5
User_351,4,4
User_352,7,4
User_353,2,0
User_354,4,10
User_355,6,0
User_356,13,9
User_357,12,3
User_358,7,4
User_359,2,3
User_360,9,0
User_361,12,3
User_362,3,3
User_363,14,2
User_364,4,3
User_365,14,3
User_366,14,0
User_367,12,4
User_368,12,2
User_369,8,10
User_370,15,0
User_371,6,2
User_372,8,7
User_373,1,7
User_374,9,4
User_375,5,5
User_376,3,6
User_377,9,6
User_378,12,10
User_379,4,9
User_380,1,5
User_381,8,6
User_382,9,0
User_383,8,8
User_384,3,10
User_385,1,10
User_386,10,6
User_387,10,10
User_388,10,5
User_389,3,1
User_390,12,1
User_391,2,8
User_392,8,5
User_393,5,9
User_394,9,7
User_395,1,10
User_396,11,10
User_397,5,10
User_398,6,5
User_399,2,5
User_400,1,3
User_401,5,9
User_402,10,10
User_403,15,8
User_404,2,10
User_405,13,1
User_406,12,7
User_407,15,5
User_408,15,4
User_409,3,5
User_410,3,7
User_411,9,6
User_412,3,4
User_413,14,5
User_414,0,0
User_415,0,4
User_416,4,1
User_417,11,7
User_418,10,0
User_419,3,10
User_420,5,3
User_421,6,5
User_422,11,8
User_423,1,8
User_424,15,10
User_425,6,9
User_426,1,4
User_427,2,10
User_428,15,6
User_429,11,5
User_430,2,6
User_431,12,5
User_432,10,7
User_433,7,3
User_434,15,10
User_435,7,6
User_436,4,9
User_437,10,9
User_438,11,8
User_439,12,4
User_440,1,6
User_441,12,7
User_442,8,6
User_443,1,6
User_444,15,1
User_445,12,7
User_446,7,10
User_447,15,6
User_448,6,2
User_449,11,3
User_450,9,7
User_451,5,6
User_452,7,0
User_453,0,8
User_454,0,5
User_455,1,9
User_456,0,5
User_457,1,9
User_458,13,9
User_459,7,7
User_460,6,2
User_461,6,7
User_462,12,3
User_463,8,9
User_464,15,2
User_465,6,0
User_466,3,10
User_467,5,0
User_468,11,3
User_469,11,9
User_470,4,4
User_471,3,2
User_472,9,6
User_473,1,8
User_474,9,4
User_475,1,0
User_476,7,7
User_477,2,10
User_478,13,3
User_479,5,0
User_480,1,4
User_481,15,10
User_482,6,1
User_483,3,8
User_484,7,1
User_485,12,9
User_486,8,2
User_487,8,5
User_488,10,9
User_489,3,3
User_490,5,8
User_491,3,9
User_492,13,4
User_493,7,9
User_494,6,10
User_495,13,10
User_496,2,7
User_497,1,6
User_498,14,5
User_499,11,7
User_500,7,1
User_501,0,10
User_502,12,8
User_503,5,2
User_504,13,6
User_505,7,3
User_506,1,1
User_507,11,3
User_508,3,10
User_509,13,1
User_510,14,4
User_511,10,7
User_512,4,3
User_513,7,0
User_514,7,8
User_515,0,9
User_516,1,0
User_517,10,10
User_518,5,2
User_519,2,9
User_520,2,6
User_521,0,1
User_522,1,0
User_523,4,6
User_524,0,2
User_525,12,7
User_526,5,5
User_527,1,7
User_528,15,2
User_529,10,8
User_530,6,8
User_531,9,6
User_532,7,5
User_533,15,3
User_534,2,0
User_535,6,2
User_536,9,7
User_537,9,0
User_538,14,4
User_539,3,2
User_540,1,6
User_541,0,2
User_542,7,8
User_543,13,4
User_544,7,2
User_545,11,4
User_546,6,9
User_547,2,0
User_548,13,5
User_549,7,2
User_550,14,9
User_551,13,2
User_552,12,6
User_553,12,3
User_554,3,5
User_555,4,10
User_556,5,10
User_557,1,5
User_558,13,8
User_559,12,1
User_560,8,7
User_561,14,7
User_562,2,1
User_563,12,3
User_564,4,7
User_565,11,5
User_566,6,0
User_567,10,1
User_568,6,10
User_569,1,5
User_570,5,9
User_571,4,4
User_572,7,2
User_573,9,9
User_574,9,0
User_575,6,6
User_576,9,6
User_577,5,6
User_578,0,6
User_579,0,1
User_580,8,6
User_581,0,8
User_582,14,9
User_583,7,4
User_584,3,9
User_585,10,6
User_586,5,2
User_587,0,5
User_588,13,6
User_589,15,9
User_590,9,7
User_591,14,8
User_592,1,1
User_593,1,6
User_594,4,2
User_595,8,3
User_596,9,3
User_597,13,7
User_598,1,5
User_599,1,10
User_600,12,7
User_601,6,9
User_602,11,5
User_603,8,8
User_604,8,9
User_605,12,3
User_606,9,10
User_607,12,4
User_608,11,8
User_609,1,2
User_610,4,6
User_611,8,8
User_612,14,5
User_613,8,9
User_614,11,5
User_615,6,9
User_616,7,9
User_617,9,10
User_618,6,5
User_619,5,9
User_620,9,7
User_621,5,4
User_622,3,8
User_623,12,9
User_624,0,8
User_625,6,1
User_626,7,2
User_627,6,1
User_628,15,7
User_629,12,6
User_630,5,7
User_631,1,3
User_632,9,9
User_633,13,1
User_634,9,10
User_635,3,9
User_636,0,4
User_637,15,4
User_638,2,8
User_639,6,7
User_640,3,2
User_641,15,8
User_642,8,6
User_643,2,3
User_644,10,6
User_645,13,9
User_646,14,8
User_647,15,3
User_648,13,8
User_649,13,3
User_650,14,8
User_651,4,5
User_652,13,6
User_653,6,1
User_654,12,3
User_655,9,5
User_656,4,6
User_657,14,4
User_658,3,7
User_659,3,7
User_660,9,7
User_661,7,6
User_662,6,0
User_663,11,6
User_664,11,6
User_665,11,3
User_666,4,0
User_667,15,3
User_668,12,5
User_669,2,7
User_670,10,9
User_671,5,6
User_672,13,10
User_673,0,6
User_674,0,0
User_675,9,3
User_676,9,4
User_677,9,5
User_678,12,1
User_679,0,7
User_680,4,2
User_681,14,3
User_682,11,4
User_683,4,1
User_684,8,6
User_685,10,1
User_686,6,10
User_687,12,0
User_688,7,10
User_689,0,0
User_690,5,4
User_691,14,9
User_692,11,4
User_693,14,5
User_694,11,4
User_695,7,6
User_696,12,5
User_697,10,7
User_698,9,9
User_699,11,3
User_700,2,7
User_701,4,10
User_702,6,3
User_703,2,9
User_704,3,6
User_705,13,4
User_706,8,4
User_707,0,3
User_708,3,0
User_709,7,0
User_710,4,10
User_711,11,9
User_712,1,0
User_713,3,9
User_714,13,9
User_715,9,6
User_716,7,3
User_717,3,6
User_718,4,9
User_719,6,8
User_720,12,10
User_721,15,10
User_722,7,0
User_723,13,5
User_724,2,3
User_725,12,9
User_726,12,1
User_727,1,10
User_728,5,5
User_729,10,9
User_730,10,5
User_731,14,1
User_732,8,0
User_733,5,7
User_734,10,5
User_735,7,3
User_736,12,6
User_737,1,3
User_738,15,5
User_739,12,10
User_740,10,5
User_741,14,5
User_742,2,1
User_743,7,3
User_744,8,5
User_745,10,0
User_746,10,3
User_747,11,5
User_748,11,3
User_749,12,10
User_750,8,6
User_751,11,8
User_752,7,4
User_753,14,0
User_754,14,0
User_755,10,8
User_756,3,0
User_757,0,5
User_758,11,3
User_759,12,9
User_760,2,4
User_761,10,0
User_762,0,5
User_763,9,6
User_764,1,6
User_765,3,9
User_766,13,10
User_767,2,6
User_768,0,4
User_769,6,4
User_770,7,0
User_771,13,1
User_772,2,3
User_773,8,9
User_774,1,2
User_775,2,4
User_776,6,6
User_777,9,3
User_778,6,8
User_779,0,7
User_780,12,8
User_781,7,10
User_782,9,2
User_783,10,5
User_784,7,4
User_785,2,5
User_786,1,0
User_787,10,4
User_788,7,0
User_789,5,10
User_790,7,2
User_791,10,7
User_792,7,6
User_793,12,0
User_794,13,9
User_795,13,3
User_796,2,7
User_797,3,10
User_798,5,7
User_799,2,10
User_800,2,1
User_801,14,8
User_802,7,3
User_803,14,4
User_804,4,0
User_805,14,9
User_806,14,0
User_807,9,2
User_808,13,9
User_809,3,0
User_810,8,9
User_811,12,5
User_812,9,5
User_813,14,0
User_814,7,0
User_815,6,3
User_816,7,5
User_817,3,10
User_818,6,4
User_819,8,1
User_820,15,10
User_821,9,3
User_822,6,2
User_823,13,6
User_824,5,9
User_825,3,1
User_826,15,4
User_827,15,5
User_828,11,5
User_829,14,10
User_830,7,1
User_831,14,0
User_832,4,1
User_833,5,8
User_834,0,8
User_835,14,9
User_836,12,6
User_837,8,6
User_838,3,7
User_839,0,5
User_840,3,5
User_841,15,5
User_842,12,3
User_843,13,4
User_844,4,10
User_845,14,2
User_846,12,6
User_847,11,5
User_848,2,9
User_849,12,6
User_850,1,9
User_851,7,10
User_852,8,4
User_853,6,10
User_854,11,4
User_855,13,1
User_856,13,2
User_857,3,5
User_858,11,0
User_859,6,0
User_860,14,8
User_861,1,2
User_862,4,10
User_863,4,6
User_864,12,10
User_865,4,2
User_866,9,2
User_867,8,0
User_868,11,1
User_869,5,4
User_870,13,8
User_871,1,9
User_872,11,7
User_873,1,4
User_874,1,4
User_875,14,3
User_876,4,4
User_877,14,0
User_878,0,9
User_879,7,9
User_880,6,10
User_881,14,10
User_882,14,0
User_883,0,1
User_884,5,1
User_885,12,8
User_886,5,0
User_887,3,1
User_888,1,7
User_889,7,4
User_890,12,3
User_891,4,2
User_892,1,5
User_893,0,6
User_894,2,6
User_895,1,5
User_896,14,0
User_897,14,3
User_898,5,0
User_899,4,2
User_900,11,4
User_901,11,0
User_902,3,1
User_903,13,7
User_904,3,10
User_905,11,0
User_906,6,4
User_907,13,7
User_908,12,9
User_909,3,7
User_910,7,9
User_911,3,2
User_912,11,1
User_913,14,10
User_914,15,3
User_915,9,5
User_916,15,3
User_917,9,10
User_918,2,9
User_919,13,1
User_920,12,7
User_921,7,10
User_922,11,5
User_923,12,5
User_924,3,9
User_925,12,2
User_926,13,1
User_927,14,5
User_928,1,1
User_929,1,2
User_930,13,10
User_931,12,8
User_932,13,1
User_933,0,8
User_934,7,6
User_935,6,8
User_936,4,8
User_937,6,4
User_938,3,3
